sample_index,target
29804,59
29978,52
29991,92
30034,53
30079,56
30106,62
30128,76
30254,22
30255,96
30271,27
30320,58
30346,87
30386,15
30544,40
30568,55
30673,43
30721,50
30752,26
30781,12
30783,1
30792,37
30853,4
30893,3
31004,55
31029,33
31049,16
31071,78
31104,12
31156,6
31174,63
31190,23
31197,20
31209,8
31220,25
31286,85
31368,70
31374,35
31382,85
31456,82
31512,18
31626,76
31660,3
31690,19
31913,73
31934,36
31957,47
31986,63
32014,38
32144,19
32146,32
32251,85
32254,12
32279,64
32334,83
32373,28
32376,82
32402,36
32405,97
32441,40
32461,58
32486,79
32595,92
32648,59
32672,20
32775,18
32853,47
32931,76
32957,28
32996,72
33026,13
33032,77
33081,53
33099,70
33185,18
33312,4
33350,99
33377,60
33383,10
33484,53
33521,46
33754,46
33877,22
33975,77
34004,23
34009,79
34014,43
34024,17
34087,17
34236,98
34395,39
34398,81
34399,54
34501,39
34545,29
34546,16
34595,44
34734,93
34737,37
34787,66
34798,21
34818,61
34965,37
35002,31
35053,74
35087,5
35102,81
35161,43
35309,86
35321,77
35357,41
35496,40
35498,7
35516,12
35536,83
35564,71
35576,4
35591,63
35598,79
35629,44
35673,24
35710,1
35754,36
35830,76
35894,29
35897,66
35988,48
36023,10
36134,19
36140,15
36191,98
36202,42
36235,49
36248,65
36323,0
36564,30
36922,63
36943,34
36961,34
37108,24
37195,91
37281,56
37291,12
37299,56
37402,0
37416,60
37491,91
37526,43
37937,92
38059,4
38100,0
38142,37
38205,75
38414,97
38453,55
38526,15
38542,33
38543,24
38598,70
38664,90
38676,18
38690,7
38752,48
38889,56
39012,13
39085,31
39088,74
39093,22
39128,45
39290,14
39294,29
39313,72
39352,70
39362,85
39376,17
39462,0
39480,80
39522,75
39545,11
39598,75
39628,68
39735,88
39771,9
39818,7
39932,92
39951,96
39965,37
40006,7
40033,34
40076,46
40210,35
40228,3
40236,45
40245,87
40345,35
40567,90
40594,72
40729,1
40834,94
40881,81
40961,85
40964,97
40992,12
41023,80
41035,52
41066,52
41131,51
41184,33
41261,69
41286,53
41289,72
41333,81
41460,45
41573,57
41665,4
41725,2
41732,20
41837,64
41955,86
42014,22
42022,3
42034,84
42057,50
42220,27
42341,25
42414,62
42515,30
42637,39
42649,25
42669,7
42726,61
42748,6
42791,35
42836,63
42878,84
42890,29
42929,51
43003,2
43171,88
43183,18
43239,98
43244,19
43267,5
43300,73
43342,15
43412,8
43453,82
43477,1
43512,49
43536,13
43538,23
43574,65
43672,35
43681,92
43709,15
43790,85
43833,40
43929,12
43935,71
44044,72
44076,90
44142,48
44150,0
44267,62
44325,11
44348,45
44496,61
44522,92
44566,13
44609,25
44630,53
44775,1
44832,9
44845,60
44846,3
44957,55
44965,64
45034,78
45049,85
45082,95
45109,39
45213,57
45267,59
45349,90
45379,90
45445,2
45448,59
45452,88
45480,5
45581,21
45689,88
45749,60
45809,7
45830,57
45861,86
45872,51
45920,99
45927,90
45956,51
45968,2
45981,62
46010,56
46020,98
46042,69
46127,88
46211,27
46267,76
46335,4
46347,96
46382,64
46446,46
46557,62
46586,50
46658,99
46682,23
46685,61
46720,93
46731,91
46740,86
46765,28
46784,77
46808,10
46914,54
47002,58
47041,49
47057,67
47091,24
47220,80
47240,10
47251,2
47353,32
47354,47
47390,2
47450,27
47456,39
47474,38
47480,41
47490,33
47525,54
47570,91
47627,81
47641,70
47679,30
47689,79
47806,26
47817,81
47836,11
48138,61
48189,94
48253,86
48323,72
48404,6
48464,65
48468,34
48525,51
48526,13
48602,74
48744,87
48792,28
48798,6
48837,48
49018,95
49049,43
49123,11
49266,25
49340,67
49498,22
49531,47
49541,78
49639,12
49676,16
49740,76
49861,80
49919,1
49950,11
